Utility: social_welfare_3
Metric: BinaryDiversityUtility
CIRCLE_WORLD, 6 types, schelling_init, value: 0.8307641307994573
GRID_8DEG_WORLD, 3 types, schelling_init, value: 0.826362265043259
CYLINDER_WORLD, 8 types, schelling_init, value: 0.8216619420047206
CYLINDER_WORLD, 3 types, schelling_init, value: 0.8210670374171474
CIRCLE_WORLD, 5 types, schelling_init, value: 0.8177245047362427
CYLINDER_WORLD, 5 types, random_init, value: 0.8126895840440563
GRID_8DEG_WORLD, 2 types, schelling_init, value: 0.8106942111354829
CYLINDER_WORLD, 7 types, schelling_init, value: 0.8038297139138547
GRID_4DEG_WORLD, 6 types, random_init, value: 0.8022524703886886
CIRCLE_WORLD, 3 types, random_init, value: 0.7989309416742775
GRID_4DEG_WORLD, 8 types, schelling_init, value: 0.7987036965228659
CIRCLE_WORLD, 4 types, schelling_init, value: 0.7972993951865993
GRID_4DEG_WORLD, 4 types, schelling_init, value: 0.7957843065543857
CYLINDER_WORLD, 6 types, schelling_init, value: 0.7855808787138702
GRID_4DEG_WORLD, 7 types, schelling_init, value: 0.7777659618679258
GRID_4DEG_WORLD, 5 types, random_init, value: 0.7568955126596408
CYLINDER_WORLD, 5 types, schelling_init, value: 0.7548458587440018
CIRCLE_WORLD, 3 types, schelling_init, value: 0.7537713775217765
CYLINDER_WORLD, 4 types, random_init, value: 0.7525310573865159
GRID_4DEG_WORLD, 6 types, schelling_init, value: 0.7488628466061799
GRID_4DEG_WORLD, 5 types, schelling_init, value: 0.713019794635422
CYLINDER_WORLD, 4 types, schelling_init, value: 0.7075528302902216

Utility: number_of_colorful_edges
Metric: TypeCountingDiversityUtility
CYLINDER_WORLD, 8 types, random_init, value: 0.9983500000000001
CYLINDER_WORLD, 8 types, schelling_init, value: 0.9978666666666666
CYLINDER_WORLD, 7 types, schelling_init, value: 0.9977999999999999
CIRCLE_WORLD, 8 types, random_init, value: 0.9976875000000001
GRID_4DEG_WORLD, 8 types, random_init, value: 0.99755
CYLINDER_WORLD, 7 types, random_init, value: 0.9975333333333333
CYLINDER_WORLD, 6 types, random_init, value: 0.99715
CIRCLE_WORLD, 7 types, random_init, value: 0.9971125000000002
CIRCLE_WORLD, 6 types, random_init, value: 0.9970125000000002
GRID_4DEG_WORLD, 7 types, random_init, value: 0.9969375000000003
GRID_4DEG_WORLD, 8 types, schelling_init, value: 0.9967875000000003
CYLINDER_WORLD, 6 types, schelling_init, value: 0.9964500000000001
CIRCLE_WORLD, 5 types, random_init, value: 0.9963000000000002
CIRCLE_WORLD, 8 types, schelling_init, value: 0.9958875
GRID_4DEG_WORLD, 7 types, schelling_init, value: 0.9953750000000001
CYLINDER_WORLD, 5 types, random_init, value: 0.9953166666666668
CIRCLE_WORLD, 6 types, schelling_init, value: 0.9952125000000003
CIRCLE_WORLD, 7 types, schelling_init, value: 0.9948125000000002
GRID_4DEG_WORLD, 6 types, random_init, value: 0.9947625000000001
CYLINDER_WORLD, 5 types, schelling_init, value: 0.9943833333333335
CIRCLE_WORLD, 5 types, schelling_init, value: 0.9943250000000002
CIRCLE_WORLD, 4 types, random_init, value: 0.9937000000000001
GRID_4DEG_WORLD, 6 types, schelling_init, value: 0.9933625
CIRCLE_WORLD, 4 types, schelling_init, value: 0.9917250000000002
GRID_4DEG_WORLD, 5 types, random_init, value: 0.9909749999999998
CYLINDER_WORLD, 4 types, random_init, value: 0.9888333333333335
GRID_4DEG_WORLD, 5 types, schelling_init, value: 0.9885499999999999
GRID_8DEG_WORLD, 8 types, random_init, value: 0.98801875
CYLINDER_WORLD, 4 types, schelling_init, value: 0.9879833333333333
GRID_8DEG_WORLD, 8 types, schelling_init, value: 0.9864875
CIRCLE_WORLD, 3 types, schelling_init, value: 0.9837875000000001
CIRCLE_WORLD, 3 types, random_init, value: 0.9823499999999998
GRID_8DEG_WORLD, 7 types, random_init, value: 0.980175
GRID_4DEG_WORLD, 4 types, random_init, value: 0.978625
GRID_8DEG_WORLD, 7 types, schelling_init, value: 0.97794375
GRID_4DEG_WORLD, 4 types, schelling_init, value: 0.9773625000000001
CYLINDER_WORLD, 3 types, schelling_init, value: 0.9621666666666667
GRID_8DEG_WORLD, 6 types, random_init, value: 0.9619000000000001
GRID_8DEG_WORLD, 6 types, schelling_init, value: 0.95676875
CYLINDER_WORLD, 3 types, random_init, value: 0.9547333333333331
GRID_8DEG_WORLD, 5 types, random_init, value: 0.9183375000000003
GRID_4DEG_WORLD, 3 types, schelling_init, value: 0.9162125
GRID_8DEG_WORLD, 5 types, schelling_init, value: 0.9138250000000001
GRID_4DEG_WORLD, 3 types, random_init, value: 0.9021875
CIRCLE_WORLD, 2 types, schelling_init, value: 0.8472625
GRID_8DEG_WORLD, 4 types, random_init, value: 0.830575
GRID_8DEG_WORLD, 4 types, schelling_init, value: 0.8210625
CIRCLE_WORLD, 2 types, random_init, value: 0.7963625000000001
CYLINDER_WORLD, 2 types, schelling_init, value: 0.7709000000000001
GRID_8DEG_WORLD, 3 types, random_init, value: 0.7001125
CYLINDER_WORLD, 2 types, random_init, value: 0.6697333333333334
GRID_8DEG_WORLD, 3 types, schelling_init, value: 0.6632062500000001
GRID_4DEG_WORLD, 2 types, schelling_init, value: 0.5946
GRID_4DEG_WORLD, 2 types, random_init, value: 0.5854
GRID_8DEG_WORLD, 2 types, random_init, value: 0.5024000000000001
GRID_8DEG_WORLD, 2 types, schelling_init, value: 0.4255500000000001

Utility: social_welfare_3
Metric: DifferenceCountDiversityUtility
CIRCLE_WORLD, 2 types, random_init, value: 1.0
CIRCLE_WORLD, 2 types, schelling_init, value: 0.99945
GRID_8DEG_WORLD, 4 types, random_init, value: 0.9548378404499861
GRID_8DEG_WORLD, 2 types, random_init, value: 0.9528063088783995
GRID_8DEG_WORLD, 4 types, schelling_init, value: 0.9499742102685245
GRID_8DEG_WORLD, 2 types, schelling_init, value: 0.9491283085646728
GRID_8DEG_WORLD, 5 types, random_init, value: 0.948536542118144
GRID_8DEG_WORLD, 3 types, random_init, value: 0.9474430576624969
GRID_8DEG_WORLD, 6 types, random_init, value: 0.9449665374696994
GRID_8DEG_WORLD, 5 types, schelling_init, value: 0.9407901282097559
CIRCLE_WORLD, 8 types, random_init, value: 0.9348565029437472
GRID_8DEG_WORLD, 3 types, schelling_init, value: 0.9338443212465224
GRID_8DEG_WORLD, 6 types, schelling_init, value: 0.9320634239160394
CIRCLE_WORLD, 7 types, random_init, value: 0.9254346186237465
GRID_8DEG_WORLD, 7 types, random_init, value: 0.9204538728372742
CIRCLE_WORLD, 6 types, random_init, value: 0.91135436962321
GRID_8DEG_WORLD, 7 types, schelling_init, value: 0.9080728468118849
CIRCLE_WORLD, 5 types, random_init, value: 0.891217194988388
CYLINDER_WORLD, 8 types, random_init, value: 0.8864070009696328
GRID_8DEG_WORLD, 8 types, random_init, value: 0.8845503532767951
GRID_8DEG_WORLD, 8 types, schelling_init, value: 0.868158260920549
CYLINDER_WORLD, 7 types, random_init, value: 0.8674949799120449
CIRCLE_WORLD, 4 types, random_init, value: 0.8604593695017796
CYLINDER_WORLD, 2 types, random_init, value: 0.8552786297414882
GRID_4DEG_WORLD, 8 types, random_init, value: 0.8486290782705624
CIRCLE_WORLD, 8 types, schelling_init, value: 0.8411844655301722
GRID_4DEG_WORLD, 3 types, random_init, value: 0.8408580069872963
CYLINDER_WORLD, 6 types, random_init, value: 0.8405028552197309
CIRCLE_WORLD, 7 types, schelling_init, value: 0.8380193012664219
CYLINDER_WORLD, 3 types, random_init, value: 0.8377937934190355
CIRCLE_WORLD, 6 types, schelling_init, value: 0.8329192857583859
GRID_4DEG_WORLD, 2 types, random_init, value: 0.8304201288363394
CYLINDER_WORLD, 2 types, schelling_init, value: 0.8267204245110584
GRID_4DEG_WORLD, 7 types, random_init, value: 0.8248326951817287
GRID_4DEG_WORLD, 2 types, schelling_init, value: 0.8204240981669452
CIRCLE_WORLD, 5 types, schelling_init, value: 0.8197328539087428
GRID_4DEG_WORLD, 4 types, random_init, value: 0.8161827265657875
CYLINDER_WORLD, 5 types, random_init, value: 0.8052655327115101
CIRCLE_WORLD, 3 types, random_init, value: 0.8007839303098134
CIRCLE_WORLD, 4 types, schelling_init, value: 0.8003948569617775
GRID_4DEG_WORLD, 6 types, random_init, value: 0.7948153476719827
GRID_4DEG_WORLD, 3 types, schelling_init, value: 0.7855095981894442
CYLINDER_WORLD, 8 types, schelling_init, value: 0.7657499087775947
CIRCLE_WORLD, 3 types, schelling_init, value: 0.7561561657405262
GRID_4DEG_WORLD, 8 types, schelling_init, value: 0.7551164228943912
GRID_4DEG_WORLD, 5 types, random_init, value: 0.7483899739101364
CYLINDER_WORLD, 4 types, random_init, value: 0.7431162819098422
CYLINDER_WORLD, 3 types, schelling_init, value: 0.7379202617253315
CYLINDER_WORLD, 7 types, schelling_init, value: 0.7367386571243812
GRID_4DEG_WORLD, 4 types, schelling_init, value: 0.7331896044860597
GRID_4DEG_WORLD, 7 types, schelling_init, value: 0.7295164895819096
CYLINDER_WORLD, 6 types, schelling_init, value: 0.7137699998885225
GRID_4DEG_WORLD, 6 types, schelling_init, value: 0.6981112435840953
CYLINDER_WORLD, 5 types, schelling_init, value: 0.6771325822544262
GRID_4DEG_WORLD, 5 types, schelling_init, value: 0.6613810020423841
CYLINDER_WORLD, 4 types, schelling_init, value: 0.6250567706666679

Utility: number_of_colorful_edges
Metric: DifferenceCountDiversityUtility
GRID_4DEG_WORLD, 8 types, schelling_init, value: 0.9987874999999999
GRID_4DEG_WORLD, 8 types, random_init, value: 0.9986875000000001
CYLINDER_WORLD, 8 types, random_init, value: 0.9986333333333335
CYLINDER_WORLD, 8 types, schelling_init, value: 0.9986333333333333
GRID_4DEG_WORLD, 7 types, random_init, value: 0.9984999999999999
CYLINDER_WORLD, 7 types, schelling_init, value: 0.9984666666666666
CIRCLE_WORLD, 8 types, schelling_init, value: 0.9984625000000001
CYLINDER_WORLD, 7 types, random_init, value: 0.9984333333333333
GRID_4DEG_WORLD, 7 types, schelling_init, value: 0.9983250000000001
CIRCLE_WORLD, 6 types, schelling_init, value: 0.9983250000000001
CIRCLE_WORLD, 7 types, schelling_init, value: 0.9981875000000002
GRID_4DEG_WORLD, 6 types, random_init, value: 0.9981750000000001
CYLINDER_WORLD, 6 types, random_init, value: 0.9981333333333333
CIRCLE_WORLD, 5 types, schelling_init, value: 0.9979750000000002
CYLINDER_WORLD, 6 types, schelling_init, value: 0.9979666666666666
CIRCLE_WORLD, 8 types, random_init, value: 0.9979625000000002
CIRCLE_WORLD, 7 types, random_init, value: 0.9978625000000002
CIRCLE_WORLD, 6 types, random_init, value: 0.9978000000000001
GRID_4DEG_WORLD, 6 types, schelling_init, value: 0.9978
CYLINDER_WORLD, 5 types, random_init, value: 0.9975
CYLINDER_WORLD, 5 types, schelling_init, value: 0.9974999999999998
CIRCLE_WORLD, 5 types, random_init, value: 0.9974000000000001
CIRCLE_WORLD, 4 types, schelling_init, value: 0.9970000000000002
GRID_4DEG_WORLD, 5 types, schelling_init, value: 0.9967250000000001
GRID_4DEG_WORLD, 5 types, random_init, value: 0.996625
CIRCLE_WORLD, 4 types, random_init, value: 0.9959
CYLINDER_WORLD, 4 types, schelling_init, value: 0.9956666666666666
GRID_8DEG_WORLD, 8 types, schelling_init, value: 0.9952312500000001
GRID_8DEG_WORLD, 8 types, random_init, value: 0.9951312500000001
CYLINDER_WORLD, 4 types, random_init, value: 0.9949333333333334
GRID_4DEG_WORLD, 4 types, schelling_init, value: 0.9924125
GRID_8DEG_WORLD, 7 types, schelling_init, value: 0.9923125
GRID_4DEG_WORLD, 4 types, random_init, value: 0.9921125000000001
GRID_8DEG_WORLD, 7 types, random_init, value: 0.99089375
CIRCLE_WORLD, 3 types, schelling_init, value: 0.9904374999999999
CYLINDER_WORLD, 3 types, schelling_init, value: 0.9894
CIRCLE_WORLD, 3 types, random_init, value: 0.98735
GRID_8DEG_WORLD, 6 types, schelling_init, value: 0.9853875
GRID_8DEG_WORLD, 6 types, random_init, value: 0.9810875000000001
CYLINDER_WORLD, 3 types, random_init, value: 0.97935
GRID_4DEG_WORLD, 3 types, schelling_init, value: 0.9745875
GRID_4DEG_WORLD, 3 types, random_init, value: 0.9653624999999999
GRID_8DEG_WORLD, 5 types, schelling_init, value: 0.9641124999999998
GRID_8DEG_WORLD, 5 types, random_init, value: 0.9590875
CYLINDER_WORLD, 2 types, schelling_init, value: 0.9430666666666668
GRID_8DEG_WORLD, 4 types, schelling_init, value: 0.9280999999999999
CIRCLE_WORLD, 2 types, schelling_init, value: 0.9228375
GRID_8DEG_WORLD, 4 types, random_init, value: 0.9224937499999999
GRID_4DEG_WORLD, 2 types, schelling_init, value: 0.8992249999999999
CYLINDER_WORLD, 2 types, random_init, value: 0.8962666666666667
CIRCLE_WORLD, 2 types, random_init, value: 0.89085
GRID_4DEG_WORLD, 2 types, random_init, value: 0.8885500000000002
GRID_8DEG_WORLD, 3 types, schelling_init, value: 0.8453624999999998
GRID_8DEG_WORLD, 3 types, random_init, value: 0.8376812499999998
GRID_8DEG_WORLD, 2 types, schelling_init, value: 0.6918499999999999
GRID_8DEG_WORLD, 2 types, random_init, value: 0.6859000000000001

Utility: social_welfare_3
Metric: EntropyDivertiyUtility
CIRCLE_WORLD, 2 types, random_init, value: 0.9726250000000001
CIRCLE_WORLD, 2 types, schelling_init, value: 0.9653750000000002
GRID_8DEG_WORLD, 2 types, random_init, value: 0.9648970363588342
GRID_8DEG_WORLD, 4 types, random_init, value: 0.9579032661422028
GRID_8DEG_WORLD, 5 types, random_init, value: 0.955545017962327
GRID_8DEG_WORLD, 4 types, schelling_init, value: 0.9524821257143986
GRID_8DEG_WORLD, 6 types, random_init, value: 0.9507506300247445
GRID_8DEG_WORLD, 3 types, random_init, value: 0.9507251290165499
GRID_8DEG_WORLD, 5 types, schelling_init, value: 0.9505053046370853
GRID_8DEG_WORLD, 2 types, schelling_init, value: 0.9454579735689699
GRID_8DEG_WORLD, 6 types, schelling_init, value: 0.9449863281422938
CIRCLE_WORLD, 8 types, random_init, value: 0.935564804598747
GRID_8DEG_WORLD, 3 types, schelling_init, value: 0.9352806561634536
CIRCLE_WORLD, 7 types, random_init, value: 0.9258615793691036
GRID_8DEG_WORLD, 7 types, random_init, value: 0.9237793264136794
GRID_8DEG_WORLD, 7 types, schelling_init, value: 0.9179150142687104
CIRCLE_WORLD, 6 types, random_init, value: 0.9107650906971387
CIRCLE_WORLD, 5 types, random_init, value: 0.8907856485007096
CYLINDER_WORLD, 8 types, random_init, value: 0.8894629973771535
GRID_8DEG_WORLD, 8 types, random_init, value: 0.8850315119456134
