Utility: social_welfare_0
Metric: BinaryDiversityUtility
GRID_4DEG_WORLD, 30x30, 2 types, random_init, value: 0.9919629629629629
GRID_4DEG_WORLD, 30x30, 2 types, schelling_random_init, value: 0.9804814814814815
GRID_4DEG_WORLD, 30x30, 3 types, random_init, value: 0.9155925925925926
GRID_4DEG_WORLD, 30x30, 3 types, schelling_random_init, value: 0.8801666666666667
GRID_4DEG_WORLD, 30x30, 9 types, random_init, value: 0.8210370370370369
GRID_4DEG_WORLD, 30x30, 8 types, random_init, value: 0.7995833333333332
GRID_4DEG_WORLD, 30x30, 4 types, random_init, value: 0.7939012345678983
GRID_4DEG_WORLD, 30x30, 7 types, random_init, value: 0.7693703703703704
GRID_4DEG_WORLD, 30x30, 4 types, schelling_random_init, value: 0.7488024691358007
GRID_4DEG_WORLD, 30x30, 9 types, schelling_random_init, value: 0.7429814814814815
GRID_4DEG_WORLD, 30x30, 6 types, random_init, value: 0.7295092592592592
GRID_4DEG_WORLD, 30x30, 8 types, schelling_random_init, value: 0.7171759259259259
GRID_4DEG_WORLD, 30x30, 7 types, schelling_random_init, value: 0.6960370370370369
GRID_4DEG_WORLD, 30x30, 5 types, random_init, value: 0.6719166666666667
GRID_4DEG_WORLD, 30x30, 6 types, schelling_random_init, value: 0.6615555555555556
GRID_4DEG_WORLD, 30x30, 5 types, schelling_random_init, value: 0.6214814814814814

Utility: l2
Metric: TypeCountingDiversityUtility
GRID_4DEG_WORLD, 30x30, 2 types, random_init, value: 0.7882039102295911
GRID_4DEG_WORLD, 30x30, 2 types, schelling_random_init, value: 0.7321361860323908
GRID_4DEG_WORLD, 30x30, 9 types, random_init, value: 0.7193652384776333
GRID_4DEG_WORLD, 30x30, 8 types, random_init, value: 0.6942244863965646
GRID_4DEG_WORLD, 30x30, 7 types, random_init, value: 0.6591930818687947
GRID_4DEG_WORLD, 30x30, 3 types, random_init, value: 0.6447554388953862
GRID_4DEG_WORLD, 30x30, 6 types, random_init, value: 0.6164050159468363
GRID_4DEG_WORLD, 30x30, 9 types, schelling_random_init, value: 0.6105748376683127
GRID_4DEG_WORLD, 30x30, 3 types, schelling_random_init, value: 0.5994564587844612
GRID_4DEG_WORLD, 30x30, 8 types, schelling_random_init, value: 0.5845237495589182
GRID_4DEG_WORLD, 30x30, 7 types, schelling_random_init, value: 0.5642981768335508
GRID_4DEG_WORLD, 30x30, 5 types, random_init, value: 0.5614315319494576
GRID_4DEG_WORLD, 30x30, 6 types, schelling_random_init, value: 0.5335029648657186
GRID_4DEG_WORLD, 30x30, 5 types, schelling_random_init, value: 0.5030314906681291
GRID_4DEG_WORLD, 30x30, 4 types, random_init, value: 0.49888870025484594
GRID_4DEG_WORLD, 30x30, 4 types, schelling_random_init, value: 0.4602909213881396

Utility: social_welfare_0
Metric: DifferenceCountDiversityUtility
GRID_4DEG_WORLD, 30x30, 9 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 9 types, random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 8 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 8 types, random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 7 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 7 types, random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 6 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 6 types, random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 5 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 5 types, random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 4 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 4 types, random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 3 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 3 types, random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 2 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 2 types, random_init, value: 1.0

Utility: number_of_colorful_edges
Metric: DifferenceCountDiversityUtility
GRID_4DEG_WORLD, 30x30, 9 types, random_init, value: 0.9995740740740742
GRID_4DEG_WORLD, 30x30, 9 types, schelling_random_init, value: 0.9995370370370372
GRID_4DEG_WORLD, 30x30, 8 types, random_init, value: 0.9994444444444445
GRID_4DEG_WORLD, 30x30, 8 types, schelling_random_init, value: 0.9993333333333335
GRID_4DEG_WORLD, 30x30, 7 types, schelling_random_init, value: 0.9992962962962965
