GRID DEGREE,NUM TYPES,INITIALIZATION,UTILITY,STEPS,soc. wel. (Entropy),# colorful edges,Is max (soc. wel. (Entropy)),Is max (# colorful edges)
CYLINDER_WORLD,2,random_init,AvgDiffTypeCountingDiversityUtility,62.01,0.8552786297414882,0.8962666666666667,0,0
CYLINDER_WORLD,2,schelling_init,BinaryDiversityUtility,67.07,0.8388853224048505,0.7709000000000001,1,0
CYLINDER_WORLD,2,schelling_init,TypeCountingDiversityUtility,67.07,0.8388853224048505,0.7709000000000001,0,0
CYLINDER_WORLD,2,schelling_init,DifferenceCountDiversityUtility,96.35,0.8267204245110584,0.9430666666666668,0,1
CYLINDER_WORLD,2,schelling_init,EntropyDivertiyUtility,100.87,0.8306855067522663,0.9147666666666666,0,0
CYLINDER_WORLD,2,schelling_init,AvgDiffTypeCountingDiversityUtility,96.35,0.8267204245110584,0.9430666666666668,0,0
CYLINDER_WORLD,3,random_init,BinaryDiversityUtility,5.71,0.7840736071822322,0.7254833333333334,0,0
CYLINDER_WORLD,3,random_init,TypeCountingDiversityUtility,59.16,0.8598821418762772,0.9547333333333331,1,0
CYLINDER_WORLD,3,random_init,DifferenceCountDiversityUtility,62.8,0.8377937934190355,0.97935,0,0
CYLINDER_WORLD,3,random_init,EntropyDivertiyUtility,61.38,0.8466283809269683,0.9713333333333334,0,0
CYLINDER_WORLD,3,random_init,AvgDiffTypeCountingDiversityUtility,68.11,0.841008555031392,0.9868666666666667,0,1
CYLINDER_WORLD,3,schelling_init,BinaryDiversityUtility,52.51,0.642718127581674,0.6916833333333333,0,0
CYLINDER_WORLD,3,schelling_init,TypeCountingDiversityUtility,114.73,0.8210670374171474,0.9621666666666667,1,0
CYLINDER_WORLD,3,schelling_init,DifferenceCountDiversityUtility,107.36,0.7379202617253315,0.9894,0,0
CYLINDER_WORLD,3,schelling_init,EntropyDivertiyUtility,110.85,0.7572152513248909,0.9865166666666666,0,0
CYLINDER_WORLD,3,schelling_init,AvgDiffTypeCountingDiversityUtility,112.26,0.7465847858947385,0.9973000000000001,0,1
CYLINDER_WORLD,4,random_init,BinaryDiversityUtility,2.54,0.6728767600256477,0.7767666666666667,0,0
CYLINDER_WORLD,4,random_init,TypeCountingDiversityUtility,52.22,0.7525310573865159,0.9888333333333335,1,0
CYLINDER_WORLD,4,random_init,DifferenceCountDiversityUtility,52.74,0.7431162819098422,0.9949333333333334,0,0
CYLINDER_WORLD,4,random_init,EntropyDivertiyUtility,51.78,0.7453290833604755,0.99035,0,0
CYLINDER_WORLD,4,random_init,AvgDiffTypeCountingDiversityUtility,58.34,0.7455917804678627,1.0,0,1
CYLINDER_WORLD,4,schelling_init,BinaryDiversityUtility,42.85,0.5053704578048951,0.6451,0,0
CYLINDER_WORLD,4,schelling_init,TypeCountingDiversityUtility,116.66,0.7075528302902216,0.9879833333333333,1,0
CYLINDER_WORLD,4,schelling_init,DifferenceCountDiversityUtility,107.13,0.6250567706666679,0.9956666666666666,0,0
CYLINDER_WORLD,4,schelling_init,EntropyDivertiyUtility,109.56,0.6462257483783348,0.9915333333333335,0,0
CYLINDER_WORLD,4,schelling_init,AvgDiffTypeCountingDiversityUtility,111.2,0.6319944873896637,1.0,0,1
CYLINDER_WORLD,5,random_init,BinaryDiversityUtility,1.15,0.7292529277778307,0.8113499999999999,0,0
CYLINDER_WORLD,5,random_init,TypeCountingDiversityUtility,45.18,0.8126895840440563,0.9953166666666668,1,0
CYLINDER_WORLD,5,random_init,DifferenceCountDiversityUtility,45.01,0.8052655327115101,0.9975,0,0
CYLINDER_WORLD,5,random_init,EntropyDivertiyUtility,44.82,0.8066507774408782,0.9956999999999999,0,0
CYLINDER_WORLD,5,random_init,AvgDiffTypeCountingDiversityUtility,48.12,0.806973267987334,1.0,0,1
CYLINDER_WORLD,5,schelling_init,BinaryDiversityUtility,35.22,0.5217281936711528,0.6162666666666667,0,0
CYLINDER_WORLD,5,schelling_init,TypeCountingDiversityUtility,114.2,0.7548458587440018,0.9943833333333335,1,0
CYLINDER_WORLD,5,schelling_init,DifferenceCountDiversityUtility,105.9,0.6771325822544262,0.9974999999999998,0,0
CYLINDER_WORLD,5,schelling_init,EntropyDivertiyUtility,108.5,0.7022504228181896,0.9954333333333334,0,0
CYLINDER_WORLD,5,schelling_init,AvgDiffTypeCountingDiversityUtility,108.86,0.6814506371794519,1.0,0,1
CYLINDER_WORLD,6,random_init,BinaryDiversityUtility,0.57,0.7697694703653534,0.8395666666666665,0,0
CYLINDER_WORLD,6,random_init,TypeCountingDiversityUtility,38.99,0.8491274327624108,0.99715,1,0
CYLINDER_WORLD,6,random_init,DifferenceCountDiversityUtility,38.49,0.8405028552197309,0.9981333333333333,0,0
CYLINDER_WORLD,6,random_init,EntropyDivertiyUtility,38.51,0.84509719772276,0.9974166666666666,0,0
CYLINDER_WORLD,6,random_init,AvgDiffTypeCountingDiversityUtility,40.56,0.8453013987768863,1.0,0,1
CYLINDER_WORLD,6,schelling_init,BinaryDiversityUtility,29.51,0.5359663432497066,0.60065,0,0
CYLINDER_WORLD,6,schelling_init,TypeCountingDiversityUtility,111.25,0.7855808787138702,0.9964500000000001,1,0
CYLINDER_WORLD,6,schelling_init,DifferenceCountDiversityUtility,103.72,0.7137699998885225,0.9979666666666666,0,0
CYLINDER_WORLD,6,schelling_init,EntropyDivertiyUtility,105.73,0.737269719824798,0.9967833333333335,0,0
CYLINDER_WORLD,6,schelling_init,AvgDiffTypeCountingDiversityUtility,106.07,0.7182358836801206,1.0,0,1
CYLINDER_WORLD,7,random_init,BinaryDiversityUtility,0.33,0.801270899746519,0.8623166666666667,0,0
CYLINDER_WORLD,7,random_init,TypeCountingDiversityUtility,33.79,0.8732339369453228,0.9975333333333333,1,0
CYLINDER_WORLD,7,random_init,DifferenceCountDiversityUtility,33.58,0.8674949799120449,0.9984333333333333,0,0
CYLINDER_WORLD,7,random_init,EntropyDivertiyUtility,33.41,0.8716428842888837,0.9976000000000002,0,0
CYLINDER_WORLD,7,random_init,AvgDiffTypeCountingDiversityUtility,35.38,0.8704528748353395,1.0,0,1
CYLINDER_WORLD,7,schelling_init,BinaryDiversityUtility,26.51,0.5456555262233515,0.5960500000000001,0,0
CYLINDER_WORLD,7,schelling_init,TypeCountingDiversityUtility,108.48,0.8038297139138547,0.9977999999999999,1,0
CYLINDER_WORLD,7,schelling_init,DifferenceCountDiversityUtility,101.96,0.7367386571243812,0.9984666666666666,0,0
CYLINDER_WORLD,7,schelling_init,EntropyDivertiyUtility,104.08,0.7606771081535684,0.9976333333333334,0,0
CYLINDER_WORLD,7,schelling_init,AvgDiffTypeCountingDiversityUtility,104.0,0.7408802175562118,1.0,0,1
CYLINDER_WORLD,8,random_init,BinaryDiversityUtility,0.16,0.8238908157274016,0.8774166666666667,0,0
CYLINDER_WORLD,8,random_init,TypeCountingDiversityUtility,30.44,0.8913568695647079,0.9983500000000001,1,0
CYLINDER_WORLD,8,random_init,DifferenceCountDiversityUtility,30.2,0.8864070009696328,0.9986333333333335,0,0
CYLINDER_WORLD,8,random_init,EntropyDivertiyUtility,30.37,0.8894629973771535,0.9982666666666666,0,0
CYLINDER_WORLD,8,random_init,AvgDiffTypeCountingDiversityUtility,31.65,0.888368514251829,1.0,0,1
CYLINDER_WORLD,8,schelling_init,BinaryDiversityUtility,21.71,0.5566997753718055,0.5875333333333334,0,0
CYLINDER_WORLD,8,schelling_init,TypeCountingDiversityUtility,105.58,0.8216619420047206,0.9978666666666666,1,0
CYLINDER_WORLD,8,schelling_init,DifferenceCountDiversityUtility,100.3,0.7657499087775947,0.9986333333333333,0,0
CYLINDER_WORLD,8,schelling_init,EntropyDivertiyUtility,102.05,0.7861934346085288,0.9983166666666667,0,0
CYLINDER_WORLD,8,schelling_init,AvgDiffTypeCountingDiversityUtility,102.24,0.7683028695214386,1.0,0,1
GRID_4DEG_WORLD,2,random_init,BinaryDiversityUtility,8.32,0.9009295197369256,0.5854,1,0
GRID_4DEG_WORLD,2,random_init,TypeCountingDiversityUtility,8.32,0.9009295197369256,0.5854,0,0
GRID_4DEG_WORLD,2,random_init,DifferenceCountDiversityUtility,76.08,0.8304201288363394,0.8885500000000002,0,1
GRID_4DEG_WORLD,2,random_init,EntropyDivertiyUtility,44.56,0.883024353839203,0.77825,0,0
GRID_4DEG_WORLD,2,random_init,AvgDiffTypeCountingDiversityUtility,76.08,0.8304201288363394,0.8885500000000002,0,0
GRID_4DEG_WORLD,2,schelling_init,BinaryDiversityUtility,40.55,0.8507263691766045,0.5946,1,0
GRID_4DEG_WORLD,2,schelling_init,TypeCountingDiversityUtility,40.55,0.8507263691766045,0.5946,0,0
GRID_4DEG_WORLD,2,schelling_init,DifferenceCountDiversityUtility,100.05,0.8204240981669452,0.8992249999999999,0,1
GRID_4DEG_WORLD,2,schelling_init,EntropyDivertiyUtility,80.31,0.8432404631419359,0.8195,0,0
GRID_4DEG_WORLD,2,schelling_init,AvgDiffTypeCountingDiversityUtility,100.05,0.8204240981669452,0.8992249999999999,0,0
GRID_4DEG_WORLD,3,random_init,BinaryDiversityUtility,1.73,0.8183241149109074,0.684775,0,0
GRID_4DEG_WORLD,3,random_init,TypeCountingDiversityUtility,53.84,0.878424189334494,0.9021875,1,0
GRID_4DEG_WORLD,3,random_init,DifferenceCountDiversityUtility,70.44,0.8408580069872963,0.9653624999999999,0,0
GRID_4DEG_WORLD,3,random_init,EntropyDivertiyUtility,64.57,0.8684709472841118,0.9422499999999999,0,0
GRID_4DEG_WORLD,3,random_init,AvgDiffTypeCountingDiversityUtility,74.84,0.8526145035694443,0.9672874999999999,0,1
GRID_4DEG_WORLD,3,schelling_init,BinaryDiversityUtility,29.65,0.6552245475782063,0.5510625,0,0
GRID_4DEG_WORLD,3,schelling_init,TypeCountingDiversityUtility,105.18,0.8432649599917117,0.9162125,1,0
GRID_4DEG_WORLD,3,schelling_init,DifferenceCountDiversityUtility,112.75,0.7855095981894442,0.9745875,0,0
GRID_4DEG_WORLD,3,schelling_init,EntropyDivertiyUtility,111.0,0.8131832675063084,0.9612875000000001,0,0
GRID_4DEG_WORLD,3,schelling_init,AvgDiffTypeCountingDiversityUtility,116.67,0.800986631450524,0.9792624999999999,0,1
GRID_4DEG_WORLD,4,random_init,BinaryDiversityUtility,0.36,0.7633899389505565,0.7551375,0,0
GRID_4DEG_WORLD,4,random_init,TypeCountingDiversityUtility,62.15,0.8310779287262285,0.978625,1,0
GRID_4DEG_WORLD,4,random_init,DifferenceCountDiversityUtility,65.16,0.8161827265657875,0.9921125000000001,0,0
GRID_4DEG_WORLD,4,random_init,EntropyDivertiyUtility,65.66,0.8268325440575762,0.9863999999999998,0,0
GRID_4DEG_WORLD,4,random_init,AvgDiffTypeCountingDiversityUtility,74.93,0.8225296343754693,0.9981749999999999,0,1
GRID_4DEG_WORLD,4,schelling_init,BinaryDiversityUtility,23.91,0.5544173949350788,0.5332125,0,0
GRID_4DEG_WORLD,4,schelling_init,TypeCountingDiversityUtility,117.72,0.7957843065543857,0.9773625000000001,1,0
GRID_4DEG_WORLD,4,schelling_init,DifferenceCountDiversityUtility,115.59,0.7331896044860597,0.9924125,0,0
GRID_4DEG_WORLD,4,schelling_init,EntropyDivertiyUtility,119.34,0.7613246868409196,0.9892875000000001,0,0
GRID_4DEG_WORLD,4,schelling_init,AvgDiffTypeCountingDiversityUtility,123.36,0.7557914606568792,0.9988250000000001,0,1
GRID_4DEG_WORLD,5,random_init,BinaryDiversityUtility,0.06,0.695604604140606,0.8019875000000001,0,0
GRID_4DEG_WORLD,5,random_init,TypeCountingDiversityUtility,55.2,0.7568955126596408,0.9909749999999998,1,0
GRID_4DEG_WORLD,5,random_init,DifferenceCountDiversityUtility,55.74,0.7483899739101364,0.996625,0,0
GRID_4DEG_WORLD,5,random_init,EntropyDivertiyUtility,56.03,0.7530739671254403,0.9932625000000002,0,0
GRID_4DEG_WORLD,5,random_init,AvgDiffTypeCountingDiversityUtility,61.08,0.7514569351103328,1.0,0,1
GRID_4DEG_WORLD,5,schelling_init,BinaryDiversityUtility,20.07,0.47587204429287944,0.5234875,0,0
GRID_4DEG_WORLD,5,schelling_init,TypeCountingDiversityUtility,118.36,0.713019794635422,0.9885499999999999,1,0
GRID_4DEG_WORLD,5,schelling_init,DifferenceCountDiversityUtility,114.53,0.6613810020423841,0.9967250000000001,0,0
GRID_4DEG_WORLD,5,schelling_init,EntropyDivertiyUtility,118.24,0.6802663428873383,0.9938125000000002,0,0
GRID_4DEG_WORLD,5,schelling_init,AvgDiffTypeCountingDiversityUtility,118.95,0.673527693838752,1.0,0,1
GRID_4DEG_WORLD,6,random_init,BinaryDiversityUtility,0.03,0.7416693301110105,0.8349125,0,0
GRID_4DEG_WORLD,6,random_init,TypeCountingDiversityUtility,48.8,0.8022524703886886,0.9947625000000001,1,0
GRID_4DEG_WORLD,6,random_init,DifferenceCountDiversityUtility,48.55,0.7948153476719827,0.9981750000000001,0,0
GRID_4DEG_WORLD,6,random_init,EntropyDivertiyUtility,48.81,0.7974909114980738,0.9958625000000001,0,0
GRID_4DEG_WORLD,6,random_init,AvgDiffTypeCountingDiversityUtility,52.34,0.7970386427277653,1.0,0,1
GRID_4DEG_WORLD,6,schelling_init,BinaryDiversityUtility,17.23,0.4950052826968958,0.5255375,0,0
GRID_4DEG_WORLD,6,schelling_init,TypeCountingDiversityUtility,117.5,0.7488628466061799,0.9933625,1,0
GRID_4DEG_WORLD,6,schelling_init,DifferenceCountDiversityUtility,112.9,0.6981112435840953,0.9978,0,0
GRID_4DEG_WORLD,6,schelling_init,EntropyDivertiyUtility,116.74,0.7201238159139628,0.9961375000000001,0,0
GRID_4DEG_WORLD,6,schelling_init,AvgDiffTypeCountingDiversityUtility,116.53,0.7103972868919697,1.0,0,1
