Utility: social_welfare_3
Metric: BinaryDiversityUtility
CIRCLE_WORLD, 7 types, shelling_init, value: 0.47166584367329784

Utility: number_of_colorful_edges
Metric: EntropyDivertiyUtility
CYLINDER_WORLD, 7 types, shelling_init, value: 0.9976333333333334
CYLINDER_WORLD, 7 types, random_init, value: 0.9976000000000002
CYLINDER_WORLD, 6 types, random_init, value: 0.9974166666666666
GRID_4DEG_WORLD, 7 types, random_init, value: 0.9971625000000001
CIRCLE_WORLD, 7 types, random_init, value: 0.9971125000000002
CIRCLE_WORLD, 6 types, random_init, value: 0.9970125000000002
CYLINDER_WORLD, 6 types, shelling_init, value: 0.9967833333333335
GRID_4DEG_WORLD, 7 types, shelling_init, value: 0.9967375000000002
CIRCLE_WORLD, 5 types, random_init, value: 0.9963000000000002
GRID_4DEG_WORLD, 6 types, shelling_init, value: 0.9961375000000001
GRID_4DEG_WORLD, 6 types, random_init, value: 0.9958625000000001
CYLINDER_WORLD, 5 types, random_init, value: 0.9956999999999999
GRID_8DEG_WORLD, 7 types, shelling_init, value: 0.9956687500000001
CYLINDER_WORLD, 5 types, shelling_init, value: 0.9954333333333334
GRID_8DEG_WORLD, 7 types, random_init, value: 0.9954062500000002
CIRCLE_WORLD, 6 types, shelling_init, value: 0.9952125000000003
CIRCLE_WORLD, 7 types, shelling_init, value: 0.9948125000000002
CIRCLE_WORLD, 5 types, shelling_init, value: 0.9943250000000002
GRID_4DEG_WORLD, 5 types, shelling_init, value: 0.9938125000000002
GRID_4DEG_WORLD, 5 types, random_init, value: 0.9932625000000002
GRID_8DEG_WORLD, 6 types, shelling_init, value: 0.9881999999999997
CYLINDER_WORLD, 3 types, shelling_init, value: 0.9865166666666666
GRID_8DEG_WORLD, 6 types, random_init, value: 0.9860125000000001
CIRCLE_WORLD, 3 types, shelling_init, value: 0.9837875000000001
CIRCLE_WORLD, 3 types, random_init, value: 0.9823499999999998
CYLINDER_WORLD, 3 types, random_init, value: 0.9713333333333334
GRID_8DEG_WORLD, 5 types, shelling_init, value: 0.9666
GRID_8DEG_WORLD, 5 types, random_init, value: 0.9633250000000001
GRID_4DEG_WORLD, 3 types, shelling_init, value: 0.9612875000000001
GRID_4DEG_WORLD, 3 types, random_init, value: 0.9422499999999999
CYLINDER_WORLD, 2 types, shelling_init, value: 0.9147666666666666
CYLINDER_WORLD, 2 types, random_init, value: 0.8637666666666667
CIRCLE_WORLD, 2 types, shelling_init, value: 0.8472625
GRID_8DEG_WORLD, 3 types, shelling_init, value: 0.8356500000000001
GRID_8DEG_WORLD, 3 types, random_init, value: 0.82416875
GRID_4DEG_WORLD, 2 types, shelling_init, value: 0.8195
CIRCLE_WORLD, 2 types, random_init, value: 0.7963625000000001
GRID_4DEG_WORLD, 2 types, random_init, value: 0.77825
GRID_8DEG_WORLD, 2 types, shelling_init, value: 0.6445750000000001
GRID_8DEG_WORLD, 2 types, random_init, value: 0.6254500000000001

